Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
Aerotropolis Atlanta ,HIA reports,"2012, May","A comprehensive HIA on the site of a former Ford assembly plant in Hapeville, Georgia.","Center for Quality Growth and Regional Development, Georgia Institute of Technology College of Architecture",,Hapeville,Georgia,,"Community development,Planning and zoning","Brownfields and Superfund sites,Parks and green spaces,Land-use planning,Economic development","Clean air and water,Diet and physical activity,Safe and affordable parks and recreational facilities,Safe street infrastructure,Employment",Local,Suburban,Educational institution,"Chronic health conditions,Older adults,Economically disadvantaged,Individuals with disabilities","Qualitative research,Primary research,Quantitative research,Literature review",No,Health Impact Project grantee,Completed
Cowlitz County Coal Export Terminal,HIA reports,"2018, November","An HIA of a proposed coal export terminal on the Columbia River in Cowlitz County, Washington.",Cowlitz County Department of Building and Planning; Washington State Department of Health,,Cowlitz,Washington,,"Community development,Energy,Industrial",,"Diet and physical activity,Access to healthy food,Safe, affordable, and healthy housing,Access to services/medical care,Safe and affordable public transit,Safe and accessible active transportation routes,Safe street infrastructure,Clean air and water,Employment,Community safety,Cultural well-being,Income and wealth,Noise",County,"Urban,Suburban,Rural",Government agency,"Economically disadvantaged,Racial and ethnic minorities,Uninsured,Children,Older adults,Homeless,Mental illness,Chronic health conditions,Individuals with disabilities","Quantitative research,Qualitative research,Primary research,GIS mapping,Focus groups,Literature review",No,Other funding,Completed
Alcohol Retail Outlet Density Policy in Utah,HIA reports,"2013, December","Public health graduate students and stakeholders conducted a rapid HIA on alcohol regulations, including outlet density policy, in Utah.",Brigham Young University; Utah County Department of Drug and Alcohol Prevention and Treatment,,,Utah,,Planning and zoning,"Addictive substances and behaviors,Regulation","Alcohol, tobacco, and drug use",State,"Urban,Suburban","Educational institution,Government agency","Economically disadvantaged,Racial and ethnic minorities,Children","Qualitative research,Literature review",Yes,Other funding,Completed
Buncombe County Greenways Master Plan,HIA reports,In progress,An HIA of the Buncombe County (North Carolina) Greenways Master Plan that uses the lens of public health to contribute to the design and prioritization of the greenway system and to help illustrate how the network could impact health measures of Buncombe residents.,"Vitruvian Planning, Kostelec Planning, Connect Buncombe",,Buncombe County,North Carolina,,Planning and zoning,"Parks and green spaces,Active transportation,Land-use planning","Diet and physical activity,Safe and affordable parks and recreational facilities,Safe and accessible active transportation routes,Family and social support",County,"Urban,Rural,Suburban","For-profit organization,Nonprofit organization",,,No,Other funding,In progress
"Ethane Cracker in Monaca, Pennsylvania",HIA reports,2014,"An HIA of a proposed Royal Dutch Shell natural gas and chemical processing station in Monaca, Pennsylvania.",Clear Air Council,,Monaca,Pennsylvania,,Industrial,"Economic development,Gas and oil,Processing,Siting","Clean air and water,Noise,Employment",Regional,Rural,Nonprofit organization,"Children,Older adults,Chronic health conditions","Primary research,Qualitative research,Literature review",No,Other funding,Completed
Spokane Downtown Plan Update: Pedestrian Strategy,HIA reports,"2012, October","A rapid HIA of the pedestrian portion of the multimodal transportation strategy in the downtown plan update in Spokane, Washington.","City of Spokane, Spokane Regional Health District, The Lands Council",,Spokane,Washington,,"Planning and zoning,Transportation","Active transportation,Parks and green spaces,Planning","Clean air and water,Diet and physical activity,Noise,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Safe street infrastructure",Local,Urban,Government agency,,,Yes,Other funding,Completed
Atlanta Beltline,HIA reports,"2007, January","An HIA that addressed the health implications of the proposed Atlanta Beltline, a major public transit, trails, parks, and urban redevelopment project in Atlanta, Georgia.","Center for Quality Growth and Regional Development at Georgia Tech, CDC, Robert Wood Johnson Foundation",,Atlanta,Georgia,,Planning and zoning,"Public transit,Parks and green spaces,Land-use planning,Active transportation","Noise,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Safe and affordable public transit",Local,Urban,Educational institution,"Economically disadvantaged,Children,Older adults","Qualitative research,Primary research,Quantitative research",Yes,Other funding,Completed
Milwaukee Paid Sick Days,HIA reports,"2008, October","A rapid HIA of a proposed sick leave ordinance in Milwaukee, which would allow workers to earn one hour of paid sick leave per 30 hours of paid work, up to 72 hours in companies with more than 10 employees and 40 hours in smaller firms, concluded that the ordinance would benefit the health of all city residents.",Human Impact Partners,,Milwaukee,Wisconsin,,Labor and employment,"Human resources policies, benefits,Food and nutrition,Regulation,Wages","Employment,Income and wealth",Local,,Nonprofit organization,,,Yes,Other funding,Completed
Charlotte Area Transit System Blue Line Extension,HIA reports,"2015, July","An HIA of an extension to the Charlotte Area Transit System’s Blue Line from the City Center to the University of North Carolina, Charlotte.","Mecklenburg County (North Carolina) Health Department, University of North Carolina, Charlotte, and Charlotte Area Transit System",,Mecklenburg County,North Carolina,,Transportation,"Planning,Public transit","Safe and accessible active transportation routes,Safe, affordable, and healthy housing,Safe and affordable public transit,Clean air and water,Safe street infrastructure,Noise",County,Urban,Government agency,"Individuals with disabilities,Linguistically isolated,Homeless,Children,Older adults,Chronic health conditions,Mental illness","Survey,Literature review,Primary research,Quantitative research,Qualitative research",Yes,Other funding,Completed
Davidson Walks and Rolls: Active Transportation Master Plan,HIA reports,2013,"An HIA to incorporate health and social equity modeling and economic analysis on the benefits of implementing infrastructure improvements into an active transportation plan in Davidson, North Carolina.","Davidson Design for Life, Alta Planning and Design",,Davidson,North Carolina,,"Planning and zoning,Transportation","Active transportation,Planning","Safe and affordable public transit,Safe and accessible active transportation routes,Family and social support,Safe street infrastructure",Local,Urban,Government agency,"Children,Economically disadvantaged,Older adults,Individuals with disabilities,Racial and ethnic minorities","Qualitative research,Quantitative research",Yes,Other funding,Completed
